1040	1
60614	1
60622	1
60644	1
Armour Square	1
Auburn Gresham	2
Avalon Park	2
Burnside	1
CO	61
Chicago	72
Cook County	198
East Side	1
Englewood	1
Greater Grand Crossing	1
Lake View Township	1
Lincoln Park	1
Logan Square	2
Lower West Side	1
McKinley Park	1
Morgan Park	1
Near South Side	1
Near West Side	3
New City	1
O'Hare	12
South Loop	1
South Shore	1
Stony Island Park	1
West Englewood	1
West Town	4
country	1
